date,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Legislative Branch,"1,607","1,662","1,810","1,848","2,216","2,231","2,245","2,629","2,394","2,537","2,609","2,263","2,348","2,572","2,592","2,871","2,959","3,187","3,396","3,890","3,984","4,101","4,294","4,408","4,704","5,839","4,582","4,440","4,316","4,164","4,330","4,728"
Judicial Branch,966,"1,071","1,180","1,342","1,499","1,646","1,997","2,308","2,628","2,677","2,903","3,059","3,259","3,459","3,789","4,057","4,381","4,828","5,127","5,389","5,547","5,823","6,006","6,347","6,645","7,181","7,293","7,227","7,063","6,893","7,137","7,729"
Department of Agriculture,"55,435","58,599","49,507","43,930","48,256","45,858","53,990","56,320","63,019","60,615","56,550","54,218","52,393","53,800","62,690","75,071","68,071","68,622","72,737","71,560","85,308","93,533","84,427","90,795","114,440","129,459","139,397","139,717","155,895","141,808","139,115","153,773"
Department of Commerce,"2,139","2,083","2,127","2,278","2,570","3,734","2,585","2,566","2,797","2,915","3,401","3,702","3,782","4,036","5,020","7,788","5,003","5,312","5,665","5,829","6,147","6,372","6,475","7,721","10,718","13,236","9,930","10,273","9,140","7,895","8,958","10,527"
Department of Defense--Military Programs,"245,109","265,440","273,919","281,889","294,829","289,694","261,860","286,574","278,510","268,577","259,487","253,196","258,262","255,793","261,196","281,028","290,185","331,845","388,686","437,034","474,354","499,344","528,578","594,662","636,775","666,715","678,074","650,867","607,800","577,898","562,499","576,328"
Department of Education,"16,596","17,577","16,670","18,145","21,468","22,972","25,196","25,832","30,109","24,557","31,205","29,727","30,009","31,294","31,285","33,476","35,523","46,373","57,145","62,780","72,858","93,368","66,372","65,963","53,389","93,743","65,484","57,249","40,910","59,610","90,029","79,098"
Department of Energy,"10,586","11,025","10,692","11,165","11,386","12,083","12,472","15,515","16,933","17,830","17,608","16,195","14,458","14,414","15,879","14,971","16,319","17,669","19,379","19,892","21,271","19,649","20,116","21,400","23,683","30,778","31,371","32,484","24,731","23,638","25,424","27,416"
Department of Health and Human Services,"114,270","122,940","131,410","140,035","152,689","175,515","198,095","231,550","253,821","278,887","303,060","319,788","339,514","350,341","359,429","382,311","425,885","465,326","504,922","542,982","581,390","614,274","671,982","700,442","796,267","854,059","891,247","848,056","886,291","936,012","1,027,507","1,110,428"
Department of Homeland Security,"5,007","5,383","5,383","6,180","5,671","7,219","6,654","7,577","9,653","10,708","9,376","9,692","10,533","10,617","13,321","13,159","14,980","17,570","31,970","26,575","38,697","69,025","39,156","40,676","51,719","44,457","45,741","47,422","57,217","43,263","42,573","51,769"
Department of Housing and Urban Development,"28,720","14,139","15,484","18,938","19,680","20,167","22,751","24,470","25,181","25,845","29,044","25,236","27,527","30,181","32,693","30,781","33,865","31,788","37,410","44,984","42,453","42,435","45,561","49,088","61,019","60,141","57,004","49,600","56,577","38,527","35,527","28,691"
Department of the Interior,"4,804","4,774","5,037","5,138","5,194","5,814","6,082","6,531","6,879","7,064","7,479","6,776","6,763","7,222","7,783","7,998","7,743","9,739","9,193","8,606","9,292","9,037","10,469","9,817","11,775","13,164","13,519","12,891","9,607","11,279","12,340","14,022"
Department of Justice,"3,182","3,336","3,807","4,656","5,275","5,886","7,670","9,208","9,485","9,369","10,149","11,049","13,076","14,045","16,181","16,846","18,443","21,178","20,790","29,601","22,361","23,324","23,349","26,545","27,711","29,556","30,519","31,159","29,745","28,620","26,906","39,115"
Department of Labor,"24,738","24,934","24,208","22,662","25,374","26,087","34,790","47,889","45,452","37,819","32,808","33,163","31,088","30,580","32,995","31,873","39,707","64,686","69,563","56,687","46,949","43,138","47,544","58,838","138,157","173,053","131,975","104,588","80,307","56,774","45,217","43,546"
Department of State,"3,303","3,590","3,572","4,217","4,576","4,796","5,149","5,927","6,385","6,784","6,263","5,730","6,029","5,396","6,554","6,687","7,487","9,327","9,343","10,915","12,748","12,953","13,737","17,493","21,427","23,802","24,354","26,947","25,972","27,481","26,498","30,911"
Department of Transportation,"22,510","24,885","22,851","23,698","23,828","25,642","27,237","29,098","30,958","33,563","35,132","35,144","36,072","35,554","37,672","41,555","49,231","56,252","50,764","54,879","56,596","60,139","61,697","64,944","73,004","77,750","77,302","75,149","76,322","76,197","75,425","77,832"
Department of the Treasury,"163,688","178,076","178,684","200,406","227,402","253,915","274,606","291,005","296,825","305,550","346,875","362,862","377,491","389,005","385,045","390,524","388,268","371,187","368,256","375,844","410,240","464,675","490,589","548,797","701,775","444,338","538,707","464,714","399,068","446,897","485,623","540,376"
Department of Veterans Affairs,"26,322","26,523","26,932","29,253","30,014","28,976","31,191","33,872","35,461","37,377","37,748","36,896","39,253","41,724","43,125","47,044","45,012","50,868","56,921","59,554","69,815","69,777","72,792","84,749","95,457","108,274","126,918","124,124","138,464","149,074","159,216","177,612"
Corps of Engineers--Civil Works,"2,998","2,806","2,757","3,028","3,256","3,324","3,341","3,565","3,354","3,483","3,745","3,627","3,598","3,775","3,934","4,229","4,640","4,727","4,682","4,728","4,719","6,944","3,918","5,075","6,842","9,876","10,138","7,777","6,299","6,535","6,685","6,705"
Other Defense Civil Programs,"15,809","17,483","17,962","19,039","20,230","21,690","23,238","24,746","25,957","26,969","27,972","28,947","30,279","31,204","31,987","32,801","34,131","35,136","39,874","41,726","43,481","44,435","47,112","45,785","57,276","54,032","54,775","77,313","56,811","57,370","62,966","63,679"
Environmental Protection Agency,"4,490","4,867","4,904","4,871","4,906","5,108","5,769","5,950","5,930","5,855","6,351","6,046","6,164","6,269","6,733","7,223","7,367","7,451","8,041","8,328","7,913","8,321","8,259","7,939","8,070","11,007","10,772","12,796","9,484","9,399","7,007","8,340"
Executive Office of the President,111,108,110,122,124,158,193,186,194,231,215,202,221,237,417,283,246,451,386,"3,349","7,686","5,379","2,956","1,173",743,582,484,405,380,375,397,400
General Services Administration,364,713,462,-95,-444,-170,445,457,721,332,679,560,882,826,-413,74,-309,-684,589,-451,20,24,27,343,319,861,"1,889","1,753",-368,-767,-890,-719
