date,Legislative Branch,Judicial Branch,Department of Agriculture,Department of Commerce,Department of Defense--Military Programs,Department of Education,Department of Energy,Department of Health and Human Services,Department of Homeland Security,Department of Housing and Urban Development,Department of the Interior,Department of Justice,Department of Labor,Department of State,Department of Transportation,Department of the Treasury,Department of Veterans Affairs,Corps of Engineers--Civil Works,Other Defense Civil Programs,Environmental Protection Agency,Executive Office of the President,General Services Administration,International Assistance Programs,National Aeronautics and Space Administration,National Science Foundation,Office of Personnel Management,Small Business Administration,Social Security Administration (On-Budget),Social Security Administration (Off-Budget),Other Independent Agencies (On-Budget)
1985,"1,607",966,"55,435","2,139","245,109","16,596","10,586","114,270","5,007","28,720","4,804","3,182","24,738","3,303","22,510","163,688","26,322","2,998","15,809","4,490",111,364,"11,858","7,251","1,309","23,727",680,"16,793","183,434","7,051"
1986,"1,662","1,071","58,599","2,083","265,440","17,577","11,025","122,940","5,383","14,139","4,774","3,336","24,934","3,590","24,885","178,076","26,523","2,806","17,483","4,867",108,713,"11,040","7,403","1,536","23,955",557,"19,316","190,684","8,871"
1987,"1,810","1,180","49,507","2,127","273,919","16,670","10,692","131,410","5,383","15,484","5,037","3,807","24,208","3,572","22,851","178,684","26,932","2,757","17,962","4,904",110,462,"10,406","7,591","1,547","26,966",-65,"16,524","202,422","10,475"
1988,"1,848","1,342","43,930","2,278","281,889","18,145","11,165","140,035","6,180","18,938","5,138","4,656","22,662","4,217","23,698","200,406","29,253","3,028","19,039","4,871",122,-95,"7,252","9,092","1,644","29,191",-54,"18,113","214,489","19,020"
1989,"2,216","1,499","48,256","2,570","294,829","21,468","11,386","152,689","5,671","19,680","5,194","5,275","25,374","4,576","23,828","227,402","30,014","3,256","20,230","4,906",124,-444,"4,291","11,036","1,736","29,073",85,"18,709","227,473","30,727"
1990,"2,231","1,646","45,858","3,734","289,694","22,972","12,083","175,515","7,219","20,167","5,814","5,886","26,087","4,796","25,642","253,915","28,976","3,324","21,690","5,108",158,-170,"10,085","12,429","1,821","31,949",692,"17,276","244,998","68,704"
1991,"2,245","1,997","53,990","2,585","261,860","25,196","12,472","198,095","6,654","22,751","6,082","7,670","34,790","5,149","27,237","274,606","31,191","3,341","23,238","5,769",193,445,"11,723","13,878","2,064","34,808",613,"19,008","266,395","76,870"
1992,"2,629","2,308","56,320","2,566","286,574","25,832","15,515","231,550","7,577","24,470","6,531","9,208","47,889","5,927","29,098","291,005","33,872","3,565","24,746","5,950",186,457,"11,107","13,961","2,230","35,596",546,"24,943","281,418","14,405"
1993,"2,394","2,628","63,019","2,797","278,510","30,109","16,933","253,821","9,653","25,181","6,879","9,485","45,452","6,385","30,958","296,825","35,461","3,354","25,957","5,930",194,721,"11,524","14,305","2,429","36,794",785,"28,143","298,349","-17,321"
1994,"2,537","2,677","60,615","2,915","268,577","24,557","17,830","278,887","10,708","25,845","7,064","9,369","37,819","6,784","33,563","305,550","37,377","3,483","26,969","5,855",231,332,"10,497","13,694","2,605","38,596",779,"31,164","313,881","3,356"
1995,"2,609","2,903","56,550","3,401","259,487","31,205","17,608","303,060","9,376","29,044","7,479","10,149","32,808","6,263","35,132","346,875","37,748","3,745","27,972","6,351",215,679,"11,128","13,378","2,814","41,276",677,"31,037","330,370","-5,996"
1996,"2,263","3,059","54,218","3,702","253,196","29,727","16,195","319,788","9,692","25,236","6,776","11,049","33,163","5,730","35,144","362,862","36,896","3,627","28,947","6,046",202,560,"9,665","13,881","2,988","42,870",873,"30,694","343,869","2,743"
1997,"2,348","3,259","52,393","3,782","258,262","30,009","14,458","339,514","10,533","27,527","6,763","13,076","31,088","6,029","36,072","377,491","39,253","3,598","30,279","6,164",221,882,"10,075","14,360","3,093","45,404",333,"34,309","358,372","-2,813"
1998,"2,572","3,459","53,800","4,036","255,793","31,294","14,414","350,341","10,617","30,181","7,222","14,045","30,580","5,396","35,554","389,005","41,724","3,775","31,204","6,269",237,826,"8,886","14,194","3,143","46,297",-77,"37,542","370,068","10,878"
1999,"2,592","3,789","62,690","5,020","261,196","31,285","15,879","359,429","13,321","32,693","7,783","16,181","32,995","6,554","37,672","385,045","43,125","3,934","31,987","6,733",417,-413,"10,070","13,636","3,246","47,519",57,"40,021","379,212","6,189"
2000,"2,871","4,057","75,071","7,788","281,028","33,476","14,971","382,311","13,159","30,781","7,998","16,846","31,873","6,687","41,555","390,524","47,044","4,229","32,801","7,223",283,74,"12,087","13,428","3,448","48,655",-421,"45,121","396,169","8,803"
2001,"2,959","4,381","68,071","5,003","290,185","35,523","16,319","425,885","14,980","33,865","7,743","18,443","39,707","7,487","49,231","388,268","45,012","4,640","34,131","7,367",246,-309,"11,804","14,092","3,662","50,894",-570,"40,007","421,257","11,386"
2002,"3,187","4,828","68,622","5,312","331,845","46,373","17,669","465,326","17,570","31,788","9,739","21,178","64,686","9,327","56,252","371,187","50,868","4,727","35,136","7,451",451,-684,"13,289","14,405","4,155","52,540",493,"45,816","442,010","16,705"
2003,"3,396","5,127","72,737","5,665","388,686","57,145","19,379","504,922","31,970","37,410","9,193","20,790","69,563","9,343","50,764","368,256","56,921","4,682","39,874","8,041",386,589,"13,449","14,610","4,690","54,135","1,558","46,333","461,400","14,579"
2004,"3,890","5,389","71,560","5,829","437,034","62,780","19,892","542,982","26,575","44,984","8,606","29,601","56,687","10,915","54,879","375,844","59,554","4,728","41,726","8,328","3,349",-451,"13,639","15,152","5,092","56,547","4,075","49,008","481,200","10,103"
2005,"3,984","5,547","85,308","6,147","474,354","72,858","21,271","581,390","38,697","42,453","9,292","22,361","46,949","12,748","56,596","410,240","69,815","4,719","43,481","7,913","7,686",20,"15,024","15,602","5,403","59,500","2,502","54,556","506,779","16,766"
2006,"4,101","5,823","93,533","6,372","499,344","93,368","19,649","614,274","69,025","42,435","9,037","23,324","43,138","12,953","60,139","464,675","69,777","6,944","44,435","8,321","5,379",24,"13,917","15,125","5,510","62,400",905,"53,252","532,491","14,003"
2007,"4,294","6,006","84,427","6,475","528,578","66,372","20,116","671,982","39,156","45,561","10,469","23,349","47,544","13,737","61,697","490,589","72,792","3,918","47,112","8,259","2,956",27,"12,752","15,861","5,488","58,431","1,175","54,917","566,846","12,913"
2008,"4,408","6,347","90,795","7,721","594,662","65,963","21,400","700,442","40,676","49,088","9,817","26,545","58,838","17,493","64,944","548,797","84,749","5,075","45,785","7,939","1,173",343,"11,359","17,833","5,785","64,393",528,"58,602","599,197","47,221"
2009,"4,704","6,645","114,440","10,718","636,775","53,389","23,683","796,267","51,719","61,019","11,775","27,711","138,157","21,427","73,004","701,775","95,457","6,842","57,276","8,070",743,319,"14,797","19,168","5,958","72,302","2,246","78,657","648,892","47,631"
2010,"5,839","7,181","129,459","13,236","666,715","93,743","30,778","854,059","44,457","60,141","13,164","29,556","173,053","23,802","77,750","444,338","108,274","9,876","54,032","11,007",582,861,"20,041","18,906","6,719","69,915","6,128","70,758","683,420","-7,525"
2011,"4,582","7,293","139,397","9,930","678,074","65,484","31,371","891,247","45,741","57,004","13,519","30,519","131,975","24,354","77,302","538,707","126,918","10,138","54,775","10,772",484,"1,889","20,583","17,618","7,146","74,090","6,163","155,316","628,878","17,457"
2012,"4,440","7,227","139,717","10,273","650,867","57,249","32,484","848,056","47,422","49,600","12,891","31,159","104,588","26,947","75,149","464,714","124,124","7,777","77,313","12,796",405,"1,753","20,009","17,190","7,255","79,457","2,936","188,241","632,903","30,021"
2013,"4,316","7,063","155,895","9,140","607,800","40,910","24,731","886,291","57,217","56,577","9,607","29,745","80,307","25,972","76,322","399,068","138,464","6,299","56,811","9,484",380,-368,"19,672","16,975","7,417","83,867",477,"109,849","757,542","28,180"
2014,"4,164","6,893","141,808","7,895","577,898","59,610","23,638","936,012","43,263","38,527","11,279","28,620","56,774","27,481","76,197","446,897","149,074","6,535","57,370","9,399",375,-767,"18,742","17,095","7,053","87,917",194,"81,184","824,587","9,089"
2015,"4,330","7,137","139,115","8,958","562,499","90,029","25,424","1,027,507","42,573","35,527","12,340","26,906","45,217","26,498","75,425","485,623","159,216","6,685","62,966","7,007",397,-890,"20,950","18,268","6,837","91,734",-746,"87,359","856,763","15,942"
2016,"4,728","7,729","153,773","10,527","576,328","79,098","27,416","1,110,428","51,769","28,691","14,022","39,115","43,546","30,911","77,832","540,376","177,612","6,705","63,679","8,340",400,-719,"16,042","19,153","6,895","93,883",-378,"94,893","896,665","22,072"
