date,Legislative Branch,Judicial Branch,Department of Agriculture,Department of Commerce,Department of Defense--Military Programs,Department of Education,Department of Energy,Department of Health and Human Services,Department of Homeland Security,Department of Housing and Urban Development,Department of the Interior,Department of Justice,Department of Labor,Department of State,Department of Transportation,Department of the Treasury,Department of Veterans Affairs,Corps of Engineers--Civil Works,Other Defense Civil Programs,Environmental Protection Agency,Executive Office of the President,General Services Administration,International Assistance Programs,National Aeronautics and Space Administration,National Science Foundation,Office of Personnel Management,Small Business Administration,Social Security Administration (On-Budget),Social Security Administration (Off-Budget),Other Independent Agencies (On-Budget),Other Independent Agencies (Off-Budget),Undistributed Offsetting Receipts
1985,0.2,0.1,5.9,0.2,25.9,1.8,1.1,12.1,0.5,3.0,0.5,0.3,2.6,0.3,2.4,17.3,2.8,0.3,1.7,0.5,*,*,1.3,0.8,0.1,2.5,0.1,1.8,19.4,0.7,*,-6.2
1986,0.2,0.1,5.9,0.2,26.8,1.8,1.1,12.4,0.5,1.4,0.5,0.3,2.5,0.4,2.5,18.0,2.7,0.3,1.8,0.5,*,0.1,1.1,0.7,0.2,2.4,0.1,2.0,19.3,0.9,*,-6.6
1987,0.2,0.1,4.9,0.2,27.3,1.7,1.1,13.1,0.5,1.5,0.5,0.4,2.4,0.4,2.3,17.8,2.7,0.3,1.8,0.5,*,*,1.0,0.8,0.2,2.7,_*,1.6,20.2,1.0,0.1,-7.2
1988,0.2,0.1,4.1,0.2,26.5,1.7,1.0,13.2,0.6,1.8,0.5,0.4,2.1,0.4,2.2,18.8,2.7,0.3,1.8,0.5,*,_*,0.7,0.9,0.2,2.7,_*,1.7,20.2,1.8,0.2,-7.4
1989,0.2,0.1,4.2,0.2,25.8,1.9,1.0,13.3,0.5,1.7,0.5,0.5,2.2,0.4,2.1,19.9,2.6,0.3,1.8,0.4,*,_*,0.4,1.0,0.2,2.5,*,1.6,19.9,2.7,_*,-7.8
1990,0.2,0.1,3.7,0.3,23.1,1.8,1.0,14.0,0.6,1.6,0.5,0.5,2.1,0.4,2.0,20.3,2.3,0.3,1.7,0.4,*,_*,0.8,1.0,0.1,2.5,0.1,1.4,19.6,5.5,0.1,-7.9
1991,0.2,0.2,4.1,0.2,19.8,1.9,0.9,15.0,0.5,1.7,0.5,0.6,2.6,0.4,2.1,20.7,2.4,0.3,1.8,0.4,*,*,0.9,1.0,0.2,2.6,*,1.4,20.1,5.8,0.1,-8.3
1992,0.2,0.2,4.1,0.2,20.7,1.9,1.1,16.8,0.5,1.8,0.5,0.7,3.5,0.4,2.1,21.1,2.5,0.3,1.8,0.4,*,*,0.8,1.0,0.2,2.6,*,1.8,20.4,1.0,*,-8.5
1993,0.2,0.2,4.5,0.2,19.8,2.1,1.2,18.0,0.7,1.8,0.5,0.7,3.2,0.5,2.2,21.1,2.5,0.2,1.8,0.4,*,0.1,0.8,1.0,0.2,2.6,0.1,2.0,21.2,-1.2,0.1,-8.5
1994,0.2,0.2,4.1,0.2,18.4,1.7,1.2,19.1,0.7,1.8,0.5,0.6,2.6,0.5,2.3,20.9,2.6,0.2,1.8,0.4,*,*,0.7,0.9,0.2,2.6,0.1,2.1,21.5,0.2,0.1,-8.4
