date,share,party,x
1985,0.8,"""red""",red
1986,0.7,"""red""",red
1987,0.8,"""red""",red
1988,0.9,"""red""",red
1989,1.0,"""red""",red
1990,1.0,"""red""",red
1991,1.0,"""red""",red
1992,1.0,"""red""",red
1993,1.0,"""blue""",blue
1994,0.9,"""blue""",blue
1995,0.9,"""blue""",blue
1996,0.9,"""blue""",blue
1997,0.9,"""blue""",blue
1998,0.9,"""blue""",blue
1999,0.8,"""blue""",blue
2000,0.8,"""blue""",blue
2001,0.8,"""red""",red
2002,0.7,"""red""",red
2003,0.7,"""red""",red
2004,0.7,"""red""",red
2005,0.6,"""red""",red
2006,0.6,"""red""",red
2007,0.6,"""red""",red
2008,0.6,"""red""",red
2009,0.5,"""blue""",blue
2010,0.5,"""blue""",blue
2011,0.5,"""blue""",blue
2012,0.5,"""blue""",blue
2013,0.5,"""blue""",blue
2014,0.5,"""blue""",blue
2015,0.5,"""blue""",blue
